Date,Domain,SiteTime
06/01/2015,code.google.com,7
06/01/2015,devtools,97
06/01/2015,dummies.com,1039
06/01/2015,egyptwindow.net,113
06/01/2015,github.com,4563
06/01/2015,google.com,39
06/01/2015,jsfiddle.net,17
06/01/2015,linkedin.com,367
06/01/2015,live.com,664
06/01/2015,mail.google.com,1211
06/01/2015,mathworks.com,6
06/01/2015,mozilla.org,135
06/01/2015,nabble.com,357
06/01/2015,ocpu.io,3865
06/01/2015,opencpu.org,3898
06/01/2015,pastebin.com,13
06/01/2015,portent.com,6
06/01/2015,princeton.edu,248
06/01/2015,quabr.com,69
06/01/2015,r-bloggers.com,3912
06/01/2015,r-project.org,338
06/01/2015,rprogramming.net,68
06/01/2015,rstudio.com,134
06/01/2015,rstudio.org,1
06/01/2015,rubini.us,38
06/01/2015,sap.com,5
06/01/2015,social.msdn.microsoft.com,7
06/01/2015,social.technet.microsoft.com,26
06/01/2015,stackoverflow.com,6040
06/01/2015,translate.google.com,55
06/01/2015,ubuntuforums.org,111
06/01/2015,ufl.edu,48
06/01/2015,wikipedia.org,7
06/01/2015,yahoo.com,44
06/02/2015,aljazeera.net,80
06/02/2015,assabeel.net,145
06/02/2015,bbc.com,26
06/02/2015,bing.com,73
06/02/2015,cnn.com,239
06/02/2015,co.uk,1
06/02/2015,egyptwindow.net,108
06/02/2015,elastic.co,966
06/02/2015,elasticsearch.org,1
06/02/2015,linkedin.com,271
06/02/2015,live.com,2197
06/02/2015,mail.google.com,469
06/02/2015,palinfo.com,67
06/02/2015,w3schools.com,515
06/03/2015,aljazeera.net,382
06/03/2015,apache.org,1771
06/03/2015,assabeel.net,150
06/03/2015,bbc.com,79
06/03/2015,bing.com,1816
06/03/2015,cnn.com,245
06/03/2015,co.uk,1
06/03/2015,custhelp.com,77
06/03/2015,egyptwindow.net,75
06/03/2015,facebook.com,47
06/03/2015,google.com,21
06/03/2015,ikhwanonline.com,89
06/03/2015,linkedin.com,609
06/03/2015,live.com,899
06/03/2015,mail.google.com,830
06/03/2015,metafilter.com,95
06/03/2015,ocpu.io,58
06/03/2015,palinfo.com,16
06/03/2015,panerabread.com,798
06/03/2015,pendrivelinux.com,7
06/03/2015,quora.com,24
06/03/2015,stackoverflow.com,269
06/03/2015,tomshardware.com,98
06/03/2015,translate.google.com,3
06/03/2015,wikipedia.org,34
06/03/2015,yahoo.com,98
06/04/2015,aljazeera.net,97
06/04/2015,americanexpress.com,174
06/04/2015,apache.org,1909
06/04/2015,apple.com,783
06/04/2015,assabeel.net,117
06/04/2015,bbc.com,27
06/04/2015,bing.com,161
06/04/2015,cnn.com,30
06/04/2015,co.uk,1
06/04/2015,egyptwindow.net,290
06/04/2015,fj-p.com,189
06/04/2015,github.com,62
06/04/2015,google.com,619
06/04/2015,jobs.google.com,1
06/04/2015,linkedin.com,345
06/04/2015,live.com,2237
06/04/2015,mail.google.com,361
06/04/2015,matplotlib.org,238
06/04/2015,palinfo.com,81
06/04/2015,pmstudycircle.com,5
06/04/2015,stackoverflow.com,105
06/04/2015,twitter.com,208
06/04/2015,yahoo.com,30
06/05/2015,9lenses.com,17
06/05/2015,aljazeera.net,134
06/05/2015,amazon.cn,46
06/05/2015,amazon.com,798
06/05/2015,amazon.jobs,7
06/05/2015,amazon.nl,112
06/05/2015,arabseyes.com,19
06/05/2015,azure.microsoft.com,7
06/05/2015,bing.com,477
06/05/2015,blogspot.com,78
06/05/2015,co.cn,28
06/05/2015,co.jp,36
06/05/2015,co.uk,90
06/05/2015,com.br,51
06/05/2015,consumerindexes.com,19
06/05/2015,developer.com,100
06/05/2015,devtools,163
06/05/2015,eclipse.org,91
06/05/2015,edu.sg,593
06/05/2015,egyptwindow.net,20
06/05/2015,fj-p.com,80
06/05/2015,google.com,890
06/05/2015,inboundlogistics.com,177
06/05/2015,islamway.net,57
06/05/2015,klipfolio.com,195
06/05/2015,kpilibrary.com,3
06/05/2015,linkedin.com,1048
06/05/2015,live.com,3836
06/05/2015,mail.google.com,210
06/05/2015,microsoftstore.com,212
06/05/2015,msdn.microsoft.com,107
06/05/2015,oracle.com,542
06/05/2015,palinfo.com,64
06/05/2015,perlmonks.org,11
06/05/2015,regular-expressions.info,195
06/05/2015,sites.google.com,4005
06/05/2015,stackoverflow.com,19
06/05/2015,support.google.com,27
06/05/2015,tut.fi,651
06/05/2015,twitter.com,163
06/05/2015,wikipedia.org,194
06/05/2015,yahoo.com,444
06/05/2015,youtube.com,20
06/06/2015,baidu.com,39
06/06/2015,bing.com,447
06/06/2015,blogger.com,56
06/06/2015,blogspot.com,452
